PDF Name,Job role,skills,Education
24833063.pdf,ACTING FINANCE MANAGER, Audit Schedules Safety Tax Metrics Policies Inventory Process Reconciliation Payroll Warehouse Receivables Inventory management Journal entries Strategy Word Cost reduction Reconcile Oracle Operations Chemicals Finance Schedule System Budget Transactions Quickbooks Reports Marketing General ledger Investigate Financial analysis Due diligence Forecasting Invoices Sales Brand Controls Resource management Gaap Financial reports Enterprise resource planning Financial reporting Reporting Excel Ms excel Budgeting Internal controls Supply chain Kpis Engineering Vendors Retail Erp Access Sap Compliance Database Governance Analyze Analysis Mining Regulatory Expenses Business plans Analytical Iso Accounting,Bachelor of Science   :   Business  Accounting and Finance Bachelor of Science in Business Major:Accounting and Finance Graduated: August  2010 Kelley School of Business  Indiana University  IN  USA Certifications
26767199.pdf,FINANCE MANAGER, Audit Schedules Writing Tax Billing R Process Reconciliation Payroll Journal entries Oracle Human resources Conversion Finance Schedule System Budget Transactions Reports Plan Merchant Communication Sales Controls Gaap Supervisor Financial reporting Reporting Banking Internal controls Training P Auditing Variances Research Peoplesoft Technical Compliance Recruiting Payments Regulations Analytics Analysis Cash flow Deposits Analytical Accounting,Master of Science   :  Accounting Bachelor of Science   :  Accounting
20918464.pdf,SENIOR ACCOUNTANT / FINANCE CONTROLLER, Data entry Invoicing Inventory Reconciliation Documentation Payroll Receivables Word Hardware Computer applications Administration Finance System Bank reconciliation Communication Programming Excel Microsoft office Auditing Automation Erp English Windows Analysis Accounting,M.COM ( Master of commerce) B.com(Bachelor of commerce)
24967652.pdf,MANAGER OF FINANCE, Partnerships Writing Policies Inventory Process Payroll Documentation Scheduling Website Operations Customer service Finance System Transactions Reports Plan Communication Networking Invoices Sales Health Merchandising Training Microsoft office Presentation Ordering Sports Technical Retention Compliance Payments Regulations Financing Expenses Certification,Bachelor of Science   :  Organizational Management
27330027.pdf,DIRECTOR FINANCE PROJECTS, Tax Content Policies Business process Requests Legal Process Modeling Documentation Warehouse Business plans Finance System Design Budget Statistics Teaching Due diligence Forecasting Business planning Reporting Excel Economics Auditing Improvement Automation Sap Analyze Green Analytics Sas Analysis Acquisitions Business intelligence Cash flow Analytical Accounting,Bachelor of Arts   :  Economics/Geography MBA
27789372.pdf,FINANCE DIRECTOR, Data entry Inventory Process Payroll Receivables Microsoft excel Administration Finance System Quickbooks Financial statements Excel Accounting Budgeting Auditing Compliance Payments Analyze Deposits Billing,Bachelor of Science   :  Business Administration
24530382.pdf,"DIRECTOR, FINANCE", Partnerships Tax Legal Inventory Process Video Payroll Trade shows Change management Strategy Oracle Administration Jose Operations Finance Schedule System Budget Reports Marketing Lifecycle Alliances Financial analysis Forecasting Sales Cisco Acquisition Procurement Reporting On-boarding Budgeting Engineering Training Vendors Migration Sourcing Technical Governance Project management Analysis Acquisitions Expenses Outsourcing Accounting,USA Bachelor of Science   :  Business Administration/Finance
18072085.pdf,FINANCE ASSISTANT, Audit Tax Emea Purchase orders Invoicing Process Reconciliation Payroll Word Administration C Finance System Budget Transactions Reports Plan Statistics Financial management General ledger Bank reconciliation Forecasting Invoices Sales Financial statements Procurement Reporting Excel Banking Budgeting Kpis Training Auditing Retail Sap Powerpoint Payments English Project management Expenses Analysis Analytical Accounting,Date of Birth
28396458.pdf,FINANCE MANAGER, Supervising Policies Inventory Process Invoicing Reconciliation Documentation Strategy Contracts Administration Finance System Transactions Reports Plan Marketing Communication Sales Advertising Filing Excel Training Retail Compliance Database Payments Analyze Regulations Windows Financing Expenses International Deposits Accounting,Trend Business College
27409087.pdf,HEAD OF ACCOUNTS AND FINANCE, Audit Schedules Tax Metrics Policies Billing Requests Inventory Process Reconciliation Payroll Receivables Pivot Word Reconcile Contracts Operations Finance Queries System Budget Transactions Quickbooks Plan Reports Design Email Schedule Spreadsheets Financial analysis Teaching Adobe Forecasting Sales Invoices Controls Gaap Enterprise resource planning Financial reporting Filing Reporting Forecasts Training Variances Auditing Research Correspondence Erp Sap Compliance Payments English Analyze Pivot tables Analysis Expenses Certification International Accounting,Tanzania Institute Of Accountancy  Post Graduate Diploma in Accountancy
27914096.pdf,FINANCE MANAGER, Audit Schedules Supervising Policies Process Reconciliation Documentation Modeling Journal entries Beverage Word Contracts Operations Finance System Budget Marketing Plan Reports Updates Financial analysis Due diligence Forecasting Invoices Sales Communication Health Financial statements Fundraising Advertising Gaap Financial reports Reporting Forecasts Excel Banking Budgeting Training Variances Research Peoplesoft Access Technical Compliance Powerpoint Analyze Analysis Expenses Acquisitions Analytical Accounting,BBA Graduated Cum Laude
28398216.pdf,FINANCE OFFICER, Audit Tax Proposal Budget management R Inventory Reconciliation Payroll Word Travel Finance System Budget Reports Quickbooks General ledger Bank reconciliation Communication Financial reports Procurement Excel Microsoft office Auditing Logistics Assembly Analysis Deposits Accounting,Bachelor of Science   :  Commerce Accounting
25101183.pdf,DIRECTOR OF FINANCE, Schedules Metrics Pmp Key performance indicators Process Modeling Documentation Business analysis Strategy Website Contracts Administration Operations Finance System Budget Transactions Design Plan Financial management Itil Project planning Communication Forecasting Reporting Matrix Economics Kpis Agile Testing Logistics Improvement Vendors Quality assurance Compliance Business cases Green Lean Analysis Workflow Staffing Program management Accounting,Master of Business Administration Bachelor of Science   :  Finance/Accounting
24553863.pdf,VP FINANCE & IS&T, Tax Policies Inventory Process Strategy Website Operations Finance System Design Budget Marketing Standardization Consulting Alliances Communication Sales Purchasing Procurement Reporting Budgeting Engineering Training Logistics Rfp Kpi Erp Sap Compliance Governance Analytics Inventory management International Accounting,B.S
25330083.pdf,BUDGET FINANCE SPECIALIST SENIOR, Audit Tax Financial controls Process Process improvement Reconciliation Administration Travel Human resources Operations Customer service Finance System Budget Transactions Reports General ledger Financial analysis Presentations Forecasting Invoices Coding Controls Purchasing Financial reports Procurement Supervisor Reporting Excel Banking Budgeting Training Research Improvement Peoplesoft Sap Technical Compliance Payments Money Analysis Expenses Analytical Accounting,Bachelor of Science
20969845.pdf,FINANCE & ADMIN MANAGER, Policies Reconciliation Word Administration Finance Budget Teaching Communication Networking Adobe Fundraising Photoshop Html Procurement Excel Banking Ms excel Training Access Powerpoint English Windows International Accounting,MBA BBA
19540089.pdf,FINANCE MANAGER / PLANT CONTROLLER, Audit Inventory Process Cost reduction Oracle Operations Finance Budget Reports Plan Marketing Standard operating procedures Financial analysis Forecasting Communication Sales Controls Acquisition Gaap Financial reports Financial reporting Continuous improvement Reporting Budgeting Engineering Microsoft office Variances Logistics Improvement Sourcing Compliance English Green Lean Analysis International Analytical Accounting,Master of Accountancy Master of Accountancy - Missouri State University B.S. B.S.  Accounting - Missouri State University
25678238.pdf,DIRECTOR OF FINANCE, Inventory Payroll Routing Scheduling Repairs French Word Hardware Administration Travel Operations Finance System Reports Communication Purchasing Financial reports Procurement Filing Excel Accounting Budgeting Merchandising Training Ordering Correspondence Access Payments English Windows Deposits Billing,Master's Degree
25497147.pdf,FINANCE ACCOUNTANT, Audit Requests Inventory Reconciliation Payroll Documentation Operations Finance Budget Transactions Reports Spreadsheets Financial analysis Forecasting Invoices Coding Financial statements Gaap Financial reports Financial reporting Reporting Accounting Banking Budgeting Variances Testing Vendors Automation Compliance Payments Analyze Regulations Analysis Expenses Analytical Billing,Midwest Business College  Associate of Arts
19243556.pdf,DIRECTOR OF FINANCE, Tax Policies Inventory Process Process improvement Reconciliation Payroll Modeling Oracle Conversion Operations Finance System Regulatory compliance Quickbooks Reports General ledger Financial analysis Sales Controls Financial statements Accounts payable Pr Filing Reporting Excel Financial reporting Internal controls Training Variances Testing Improvement Vendors Peoplesoft Compliance Money Regulations Analysis Regulatory Asset management Cash flow Accounting,Bachelor of Arts Bachelor of Arts
20705888.pdf,FINANCE OFFICER, Writing Microsoft powerpoint Policies Process Microsoft word Word Microsoft excel Crm Customer service Finance Visual System Budget Transactions Reports Statistics General ledger Spreadsheets Updates Brand Sales Spanish Excel Economics Merchandising Research Powerpoint Regulations International Calculus,Lehman College  Bachelor of Arts   :  Economics Political Science and Spanish Bachelor of Arts in Economics  Minor: Political Science and Spanish
21912637.pdf,CONTRACTS AND FINANCE OFFICER, Schedules Data entry Inventory Reconciliation Documentation Payroll Receivables Microsoft word Word Operations management Contracts Administration Human resources Operations Finance Budget Transactions Reports Marketing Financial management Communication Sales Procurement Financial reporting Filing Reporting Excel Economics Training Improvement Access Compliance Database Payments Project management Regulations International Accounting,Master of Business Administration (MBA)
